Detector Type,Descriptor Type,Image Index,Number of keypoints on preceding vehicle,Mean Value of Neighborhood Size,Standard Deviation of Neighborhood Size,Number of Matching Points,Time of Detector (ms),Time of Descriptor (ms),Total Time(ms)
SHITOMASI,BRISK,0,715,4.00,0.00,-1,18.739,5.946,24.685
SHITOMASI,BRISK,1,680,4.00,0.00,268,13.776,4.416,18.192
SHITOMASI,BRISK,2,716,4.00,0.00,239,13.655,4.885,18.540
SHITOMASI,BRISK,3,705,4.00,0.00,252,11.179,5.759,16.938
SHITOMASI,BRISK,4,699,4.00,0.00,242,14.246,4.552,18.798
SHITOMASI,BRISK,5,672,4.00,0.00,248,7.194,4.241,11.434
SHITOMASI,BRISK,6,690,4.00,0.00,242,7.106,4.327,11.433
SHITOMASI,BRISK,7,711,4.00,0.00,256,8.002,4.610,12.612
SHITOMASI,BRISK,8,722,4.00,0.00,256,7.114,4.482,11.596
SHITOMASI,BRISK,9,698,4.00,0.00,252,10.138,4.407,14.545
SHITOMASI,BRIEF,0,715,4.00,0.00,-1,18.245,3.066,21.312
SHITOMASI,BRIEF,1,680,4.00,0.00, ,14.102,1.400,15.501
SHITOMASI,BRIEF,2,716,4.00,0.00,357,13.492,1.705,15.197
SHITOMASI,BRIEF,3,705,4.00,0.00,369,10.836,2.795,13.630
SHITOMASI,BRIEF,4,699,4.00,0.00,336,8.726,1.677,10.403
SHITOMASI,BRIEF,5,672,4.00,0.00,364,6.884,1.491,8.375
SHITOMASI,BRIEF,6,690,4.00,0.00,356,6.914,1.535,8.448
SHITOMASI,BRIEF,7,711,4.00,0.00,364,6.956,2.115,9.071
SHITOMASI,BRIEF,8,722,4.00,0.00,376,6.927,1.853,8.780
SHITOMASI,BRIEF,9,698,4.00,0.00,364,8.396,1.531,9.927
SHITOMASI,ORB,0,715,4.00,0.00,-1,22.387,1.297,23.685
SHITOMASI,ORB,1,680,4.00,0.00,308,15.095,1.186,16.281
SHITOMASI,ORB,2,716,4.00,0.00,302,10.506,1.194,11.700
SHITOMASI,ORB,3,705,4.00,0.00,342,8.174,1.200,9.374
SHITOMASI,ORB,4,699,4.00,0.00,306,6.998,1.184,8.182
SHITOMASI,ORB,5,672,4.00,0.00,327,7.025,1.171,8.196
SHITOMASI,ORB,6,690,4.00,0.00,301,9.421,1.196,10.617
SHITOMASI,ORB,7,711,4.00,0.00,323,9.582,1.181,10.764
SHITOMASI,ORB,8,722,4.00,0.00,331,7.081,1.306,8.387
SHITOMASI,ORB,9,698,4.00,0.00,316,11.785,1.167,12.952
SHITOMASI,FREAK,0,715,4.00,0.00,-1,17.861,33.610,51.471
SHITOMASI,FREAK,1,680,4.00,0.00,256,14.089,27.106,41.195
SHITOMASI,FREAK,2,716,4.00,0.00,260,10.500,28.432,38.931
SHITOMASI,FREAK,3,705,4.00,0.00,284,10.952,27.609,38.562
SHITOMASI,FREAK,4,699,4.00,0.00,242,7.218,26.822,34.040
SHITOMASI,FREAK,5,672,4.00,0.00,250,8.256,26.544,34.800
SHITOMASI,FREAK,6,690,4.00,0.00,247,7.066,27.198,34.263
SHITOMASI,FREAK,7,711,4.00,0.00,252,8.031,26.246,34.277
SHITOMASI,FREAK,8,722,4.00,0.00,256,8.617,25.693,34.310
SHITOMASI,FREAK,9,698,4.00,0.00,252,9.296,30.586,39.882
SHITOMASI,SIFT,0,715,4.00,0.00,-1,17.955,28.878,46.833
SHITOMASI,SIFT,1,680,4.00,0.00,341,10.027,19.880,29.908
SHITOMASI,SIFT,2,716,4.00,0.00,354,12.057,18.486,30.542
SHITOMASI,SIFT,3,705,4.00,0.00,359,9.062,17.518,26.580
SHITOMASI,SIFT,4,699,4.00,0.00,345,7.253,19.575,26.828
SHITOMASI,SIFT,5,672,4.00,0.00,370,8.678,19.592,28.270
SHITOMASI,SIFT,6,690,4.00,0.00,351,6.931,16.973,23.904
SHITOMASI,SIFT,7,711,4.00,0.00,360,6.878,21.220,28.098
SHITOMASI,SIFT,8,722,4.00,0.00,373,6.955,12.402,19.357
SHITOMASI,SIFT,9,698,4.00,0.00,360,9.620,17.680,27.300
HARRIS,BRISK,0,29,6.00,0.00,-1,15.582,1.773,17.355
HARRIS,BRISK,1,34,6.00,0.00,21,13.096,0.415,13.510
HARRIS,BRISK,2,35,6.00,0.00,23,9.743,0.411,10.154
HARRIS,BRISK,3,41,6.00,0.00,23,10.295,0.450,10.745
HARRIS,BRISK,4,46,6.00,0.00,22,7.240,0.479,7.719
HARRIS,BRISK,5,41,6.00,0.00,21,6.926,0.463,7.389
HARRIS,BRISK,6,41,6.00,0.00,25,10.120,0.450,10.570
HARRIS,BRISK,7,62,6.00,0.00,25,10.803,0.578,11.381
HARRIS,BRISK,8,47,6.00,0.00,29,6.975,0.500,7.475
HARRIS,BRISK,9,41,6.00,0.00,30,7.276,0.449,7.725
HARRIS,BRIEF,0,29,6.00,0.00,-1,21.113,1.677,22.790
HARRIS,BRIEF,1,34,6.00,0.00,23,13.446,0.251,13.697
HARRIS,BRIEF,2,35,6.00,0.00,26,13.269,0.265,13.534
HARRIS,BRIEF,3,41,6.00,0.00,26,9.932,1.435,11.367
HARRIS,BRIEF,4,46,6.00,0.00,24,10.582,1.478,12.060
HARRIS,BRIEF,5,41,6.00,0.00,30,12.925,0.241,13.165
HARRIS,BRIEF,6,41,6.00,0.00,28,6.908,0.196,7.103
HARRIS,BRIEF,7,62,6.00,0.00,29,14.089,0.366,14.455
HARRIS,BRIEF,8,47,6.00,0.00,36,6.907,0.221,7.128
HARRIS,BRIEF,9,41,6.00,0.00,35,13.118,0.275,13.392
HARRIS,ORB,0,29,6.00,0.00,-1,16.366,0.672,17.038
HARRIS,ORB,1,34,6.00,0.00,23,13.193,0.558,13.751
HARRIS,ORB,2,35,6.00,0.00,26,10.902,0.567,11.470
HARRIS,ORB,3,41,6.00,0.00,26,8.420,0.551,8.971
HARRIS,ORB,4,46,6.00,0.00,24,7.058,0.623,7.681
HARRIS,ORB,5,41,6.00,0.00,27,11.612,0.728,12.340
HARRIS,ORB,6,41,6.00,0.00,31,10.547,0.650,11.198
HARRIS,ORB,7,62,6.00,0.00,28,11.333,0.624,11.957
HARRIS,ORB,8,47,6.00,0.00,33,13.387,0.578,13.966
HARRIS,ORB,9,41,6.00,0.00,34,6.863,0.616,7.479
HARRIS,FREAK,0,29,6.00,0.00,-1,15.455,31.502,46.957
HARRIS,FREAK,1,34,6.00,0.00,20,13.393,24.944,38.337
HARRIS,FREAK,2,35,6.00,0.00,22,10.317,25.855,36.172
HARRIS,FREAK,3,41,6.00,0.00,17,10.927,24.439,35.365
HARRIS,FREAK,4,46,6.00,0.00,20,7.105,23.829,30.934
HARRIS,FREAK,5,41,6.00,0.00,19,9.120,24.056,33.176
HARRIS,FREAK,6,41,6.00,0.00,29,7.131,24.321,31.452
HARRIS,FREAK,7,62,6.00,0.00,23,7.479,26.049,33.528
HARRIS,FREAK,8,47,6.00,0.00,31,10.378,24.178,34.556
HARRIS,FREAK,9,41,6.00,0.00,28,6.887,24.713,31.600
HARRIS,SIFT,0,29,6.00,0.00,-1,22.812,27.170,49.982
HARRIS,SIFT,1,34,6.00,0.00,20,13.777,16.554,30.331
HARRIS,SIFT,2,35,6.00,0.00,27,12.106,15.695,27.800
HARRIS,SIFT,3,41,6.00,0.00,24,7.404,18.498,25.902
HARRIS,SIFT,4,46,6.00,0.00,26,9.864,16.326,26.190
HARRIS,SIFT,5,41,6.00,0.00,33,8.511,12.245,20.756
HARRIS,SIFT,6,41,6.00,0.00,29,8.239,11.471,19.711
HARRIS,SIFT,7,62,6.00,0.00,26,10.457,15.556,26.014
HARRIS,SIFT,8,47,6.00,0.00,35,8.466,12.060,20.526
HARRIS,SIFT,9,41,6.00,0.00,36,8.421,16.099,24.520
FAST,BRISK,0,970,7.00,0.00,-1,0.857,7.806,8.663
FAST,BRISK,1,974,7.00,0.00,367,0.844,7.574,8.418
FAST,BRISK,2,967,7.00,0.00,367,0.721,7.202,7.922
FAST,BRISK,3,970,7.00,0.00,358,0.712,5.894,6.605
FAST,BRISK,4,954,7.00,0.00,347,0.840,5.884,6.724
FAST,BRISK,5,961,7.00,0.00,344,0.785,6.055,6.840
FAST,BRISK,6,957,7.00,0.00,355,0.713,6.001,6.714
FAST,BRISK,7,908,7.00,0.00,343,0.718,5.620,6.338
FAST,BRISK,8,928,7.00,0.00,341,0.735,5.798,6.534
FAST,BRISK,9,940,7.00,0.00,348,0.713,5.727,6.441
FAST,BRIEF,0,970,7.00,0.00,-1,0.950,3.656,4.606
FAST,BRIEF,1,974,7.00,0.00,539,0.767,3.405,4.171
FAST,BRIEF,2,967,7.00,0.00,592,0.846,3.555,4.401
FAST,BRIEF,3,970,7.00,0.00,538,0.800,2.221,3.021
FAST,BRIEF,4,954,7.00,0.00,543,0.767,2.063,2.830
FAST,BRIEF,5,961,7.00,0.00,543,0.771,1.983,2.754
FAST,BRIEF,6,957,7.00,0.00,548,0.777,1.980,2.758
FAST,BRIEF,7,908,7.00,0.00,526,0.711,2.442,3.152
FAST,BRIEF,8,928,7.00,0.00,541,0.734,3.339,4.073
FAST,BRIEF,9,940,7.00,0.00,534,0.721,2.056,2.777
FAST,ORB,0,970,7.00,0.00,-1,0.985,3.003,3.988
FAST,ORB,1,974,7.00,0.00,484,0.784,2.111,2.895
FAST,ORB,2,967,7.00,0.00,507,0.744,1.487,2.231
FAST,ORB,3,970,7.00,0.00,480,0.814,1.506,2.319
FAST,ORB,4,954,7.00,0.00,473,0.769,1.477,2.246
FAST,ORB,5,961,7.00,0.00,458,0.712,1.429,2.141
FAST,ORB,6,957,7.00,0.00,481,0.727,1.953,2.679
FAST,ORB,7,908,7.00,0.00,453,0.711,1.453,2.164
FAST,ORB,8,928,7.00,0.00,475,0.721,1.424,2.145
FAST,ORB,9,940,7.00,0.00,443,0.725,1.535,2.259
FAST,FREAK,0,970,7.00,0.00,-1,0.954,35.309,36.263
FAST,FREAK,1,974,7.00,0.00,365,0.871,34.402,35.273
FAST,FREAK,2,967,7.00,0.00,381,0.743,31.899,32.641
FAST,FREAK,3,970,7.00,0.00,343,0.918,27.668,28.586
FAST,FREAK,4,954,7.00,0.00,324,0.740,27.465,28.204
FAST,FREAK,5,961,7.00,0.00,335,0.935,27.527,28.462
FAST,FREAK,6,957,7.00,0.00,368,0.732,27.257,27.989
FAST,FREAK,7,908,7.00,0.00,349,0.860,27.272,28.132
FAST,FREAK,8,928,7.00,0.00,345,0.774,27.079,27.853
FAST,FREAK,9,940,7.00,0.00,354,0.738,27.830,28.568
FAST,SIFT,0,970,7.00,0.00,-1,0.955,35.427,36.382
FAST,SIFT,1,974,7.00,0.00,626,0.840,32.856,33.696
FAST,SIFT,2,967,7.00,0.00,668,0.721,33.169,33.890
FAST,SIFT,3,970,7.00,0.00,630,0.778,28.362,29.140
FAST,SIFT,4,954,7.00,0.00,641,0.711,26.340,27.051
FAST,SIFT,5,961,7.00,0.00,632,0.771,19.255,20.026
FAST,SIFT,6,957,7.00,0.00,660,0.732,18.732,19.463
FAST,SIFT,7,908,7.00,0.00,640,0.708,21.148,21.856
FAST,SIFT,8,928,7.00,0.00,628,0.720,21.131,21.850
FAST,SIFT,9,940,7.00,0.00,609,0.727,18.945,19.673
BRISK,BRISK,0,1472,19.18,12.30,-1,220.543,10.830,231.373
BRISK,BRISK,1,1494,19.52,12.60,589,218.476,11.120,229.596
BRISK,BRISK,2,1480,19.31,12.28,578,245.502,10.440,255.941
BRISK,BRISK,3,1467,18.91,12.01,554,227.008,9.614,236.622
BRISK,BRISK,4,1487,19.34,12.51,567,222.626,10.058,232.684
BRISK,BRISK,5,1450,19.37,12.80,569,217.608,9.463,227.070
BRISK,BRISK,6,1463,19.13,12.41,557,219.441,9.486,228.927
BRISK,BRISK,7,1412,19.44,12.64,563,213.886,9.101,222.987
BRISK,BRISK,8,1417,19.55,12.66,540,215.499,9.320,224.820
BRISK,BRISK,9,1429,19.42,12.28,556,212.035,9.333,221.369
BRISK,BRIEF,0,1472,19.18,12.30,-1,222.739,4.762,227.501
BRISK,BRIEF,1,1494,19.52,12.60,845,216.208,4.445,220.653
BRISK,BRIEF,2,1480,19.31,12.28,864,236.589,6.240,242.828
BRISK,BRIEF,3,1467,18.91,12.01,815,218.643,3.112,221.756
BRISK,BRIEF,4,1487,19.34,12.51,823,215.616,3.119,218.735
BRISK,BRIEF,5,1450,19.37,12.80,803,215.341,3.179,218.520
BRISK,BRIEF,6,1463,19.13,12.41,853,224.323,3.073,227.396
BRISK,BRIEF,7,1412,19.44,12.64,829,232.615,3.259,235.874
BRISK,BRIEF,8,1417,19.55,12.66,805,212.784,3.205,215.989
BRISK,BRIEF,9,1429,19.42,12.28,837,211.667,2.945,214.613
BRISK,ORB,0,1472,19.18,12.30,-1,241.493,6.212,247.705
BRISK,ORB,1,1494,19.52,12.60,579,218.860,6.369,225.229
BRISK,ORB,2,1480,19.31,12.28,592,215.620,5.921,221.541
BRISK,ORB,3,1467,18.91,12.01,533,215.796,4.767,220.563
BRISK,ORB,4,1487,19.34,12.51,571,217.514,4.395,221.909
BRISK,ORB,5,1450,19.37,12.80,590,222.461,6.095,228.557
BRISK,ORB,6,1463,19.13,12.41,578,214.987,4.418,219.406
BRISK,ORB,7,1412,19.44,12.64,561,225.691,5.732,231.422
BRISK,ORB,8,1417,19.55,12.66,532,248.245,4.561,252.805
BRISK,ORB,9,1429,19.42,12.28,559,218.026,4.457,222.483
BRISK,FREAK,0,1472,19.18,12.30,-1,221.828,38.536,260.364
BRISK,FREAK,1,1494,19.52,12.60,567,219.948,34.902,254.850
